Attraction_Id,Attraction_Nm,Attraction_url,Rankings,Category,Address,No_of_Reviews,Weekday_Hours,Weekend_Hours,Overall_Rating,Rating_Excellent,Rating_Good,Rating_Average,Rating_Poor,Rating_Terrible
d2454479,Balancing Rock Trail,https://www.tripadvisor.com/Attraction_Review-g674746-d2454479-Reviews-Balancing_Rock_Trail-Tiverton_Southwest_Nova_Scotia_Nova_Scotia.html,#2 of 4 things to do in Tiverton,"Outdoor Activities, Nature & Parks, Hiking Trails","Highway 217, Tiverton, Nova Scotia, Canada",147,,,4.5,59%,30%,10%,1%,0%
d5555825,Rainbow Haven Beach Provincial Park,https://www.tripadvisor.com/Attraction_Review-g11547656-d5555825-Reviews-Rainbow_Haven_Beach_Provincial_Park-Cow_Bay_Nova_Scotia.html,#1 of 1 things to do in Cow Bay,"Outdoor Activities, Nature & Parks, Beaches","2248 Cow Bay Road, Cow Bay, Nova Scotia V0R 1N1, Canada",16,,,4.0,37%,45%,18%,0%,0%
d3682429,Victoria Park,https://www.tripadvisor.com/Attraction_Review-g154976-d3682429-Reviews-Victoria_Park-Halifax_Halifax_Region_Nova_Scotia.html,#37 of 112 things to do in Halifax,Nature & Parks,"5440 Spring Garden Rd, Halifax, Nova Scotia B3J 1E9, Canada",53,,,4.0,39%,46%,13%,1%,1%
d2187524,Oaklawn Farm Zoo,https://www.tripadvisor.com/Attraction_Review-g2089959-d2187524-Reviews-Oaklawn_Farm_Zoo-Aylesford_Southwest_Nova_Scotia_Nova_Scotia.html,#1 of 5 things to do in Aylesford,"Zoos & Aquariums, Nature & Parks, Outdoor Activities",Features AnimalsThis attraction features animalsClick below for expert advice on animal welfare in tourism.Learn more,174,,,4.5,71%,25%,2%,1%,1%
d10524476,Purcell Family Art Gallery,https://www.tripadvisor.com/Attraction_Review-g182187-d10524476-Reviews-Purcell_Family_Art_Gallery-Lunenburg_Southwest_Nova_Scotia_Nova_Scotia.html,#20 of 30 things to do in Lunenburg,"Museums, Shopping, Art Galleries","217 Lincoln St, Lunenburg, Nova Scotia B0J 2C0, Canada",5,,,4.5,80%,0%,20%,0%,0%
d12679292,Discord Gallery,https://www.tripadvisor.com/Attraction_Review-g182187-d12679292-Reviews-Discord_Gallery-Lunenburg_Southwest_Nova_Scotia_Nova_Scotia.html,#18 of 30 things to do in Lunenburg,"Shopping, Museums, Art Galleries","Montague Street, Lunenburg, Nova Scotia B0J 2C0, Canada",5,,,4.5,60%,40%,0%,0%,0%
d7367769,Sackville Lakes Provincial Park,https://www.tripadvisor.com/Attraction_Review-g1863857-d7367769-Reviews-Sackville_Lakes_Provincial_Park-Lower_Sackville_Halifax_Region_Nova_Scotia.html,#2 of 5 things to do in Lower Sackville,Nature & Parks,"440 First Lake Drive, Lower Sackville, Nova Scotia B4C 3L2, Canada",19,,,4.5,48%,42%,10%,0%,0%
d10483528,Antigonish Farmer s Market,https://www.tripadvisor.com/Attraction_Review-g154971-d10483528-Reviews-Antigonish_Farmer_s_Market-Antigonish_Nova_Scotia.html,#5 of 22 things to do in Antigonish,"Shopping, Food & Drink, Farmers Markets, Flea & Street Markets More","30 James St | The Exhibition Grounds, Antigonish, Nova Scotia B2G 1R7, Canada",15,,,4.5,40%,60%,0%,0%,0%
d3397420,Gallery La Bella Mona Lisa,https://www.tripadvisor.com/Attraction_Review-g499215-d3397420-Reviews-Gallery_La_Bella_Mona_Lisa-Cheticamp_Cape_Breton_Island_Nova_Scotia.html,#6 of 12 things to do in Cheticamp,"Shopping, Museums, Art Galleries","12225 Cabot Trail, Cheticamp, Nova Scotia B0E 1A0, Canada",19,,,4.5,74%,21%,5%,0%,0%
d4588777,Atlantic View Trail,https://www.tripadvisor.com/Attraction_Review-g2648282-d4588777-Reviews-Atlantic_View_Trail-Lawrencetown_Southwest_Nova_Scotia_Nova_Scotia.html,#2 of 2 things to do in Lawrencetown,"Nature & Parks, Outdoor Activities, Hiking Trails","West Lawrencetown Road, Lawrencetown, Nova Scotia, Canada",9,,,4.5,67%,33%,0%,0%,0%
d4605559,Lunenburg Art Gallery,https://www.tripadvisor.com/Attraction_Review-g182187-d4605559-Reviews-Lunenburg_Art_Gallery-Lunenburg_Southwest_Nova_Scotia_Nova_Scotia.html,#13 of 30 things to do in Lunenburg,"Museums, Shopping, Art Galleries","79 Pelham Street, Lunenburg, Nova Scotia B0J 2C0, Canada",15,Open Now: 10:00 AM - 5:00 PM,Sun1:00 PM - 5:00 PMTue - Sat10:00 AM - 5:00 PM,4.5,40%,54%,6%,0%,0%
d6951857,Planters Ridge,https://www.tripadvisor.com/Attraction_Review-g1048259-d6951857-Reviews-Planters_Ridge-Port_Williams_Southwest_Nova_Scotia_Nova_Scotia.html,#1 of 9 things to do in Port Williams,"Food & Drink, Wineries & Vineyards","1441 Church St, Port Williams, Nova Scotia B0P 1T0, Canada",74,Open Now: 10:30 AM - 5:30 PM,Sun12:00 PM - 5:00 PMMon - Sat10:30 AM - 5:30 PM,4.5,70%,29%,0%,1%,0%
d562550,Anne Murray Centre,https://www.tripadvisor.com/Attraction_Review-g1022767-d562550-Reviews-Anne_Murray_Centre-Springhill_Nova_Scotia.html,#1 of 4 things to do in Springhill,"Museums, Specialty Museums","36 Main Street, Springhill, Nova Scotia B0M 1X0, Canada",65,Open Now: 9:00 AM - 5:00 PM,Sun - Sat9:00 AM - 5:00 PM,4.5,81%,13%,6%,0%,0%
d8129278,Cape Breton Highlanders Museum,https://www.tripadvisor.com/Attraction_Review-g154973-d8129278-Reviews-Cape_Breton_Highlanders_Museum-Sydney_Cape_Breton_Island_Nova_Scotia.html,#28 of 38 things to do in Sydney,"Museums, Military Museums","5 Garrison Rd | Victoria Park, Sydney, Nova Scotia B1P 7G9, Canada",6,,,4.0,33%,51%,0%,0%,16%
d5556080,Second Peninsula Provincial Park,https://www.tripadvisor.com/Attraction_Review-g182187-d5556080-Reviews-Second_Peninsula_Provincial_Park-Lunenburg_Southwest_Nova_Scotia_Nova_Scotia.html,#16 of 30 things to do in Lunenburg,Nature & Parks,"781 Second Peninsula Rd, Lunenburg, Nova Scotia B0J 2C0, Canada",6,,,4.5,33%,67%,0%,0%,0%
d12338531,2 Crows Brewing Co,https://www.tripadvisor.com/Attraction_Review-g154976-d12338531-Reviews-2_Crows_Brewing_Co-Halifax_Halifax_Region_Nova_Scotia.html,#45 of 112 things to do in Halifax,"Food & Drink, Breweries","1932 Brunswick St, Halifax, Nova Scotia B3J 2G7, Canada",30,,,4.0,52%,33%,6%,3%,6%
d5555772,Martinique Beach Provincial Park,https://www.tripadvisor.com/Attraction_Review-g5598074-d5555772-Reviews-Martinique_Beach_Provincial_Park-East_Petpeswick_Halifax_Region_Nova_Scotia.html,#1 of 2 things to do in East Petpeswick,"Nature & Parks, Outdoor Activities, Beaches","193 Martinique Beach Road, East Petpeswick, Nova Scotia B0J 2L0, Canada",61,,,4.5,64%,32%,4%,0%,0%
d5555819,Smuggler s Cove Provincial Park,https://www.tripadvisor.com/Attraction_Review-g665372-d5555819-Reviews-Smuggler_s_Cove_Provincial_Park-Meteghan_Municipality_of_Clare_Southwest_Nova_Sco.html,#1 of 1 things to do in Meteghan,Nature & Parks,"7651 Highway 1, Meteghan, Municipality of Clare, Nova Scotia B0W 2J0, Canada",21,,,4.5,67%,19%,14%,0%,0%
d13170285,United Heritage Church,https://www.tripadvisor.com/Attraction_Review-g154973-d13170285-Reviews-United_Heritage_Church-Sydney_Cape_Breton_Island_Nova_Scotia.html,#29 of 38 things to do in Sydney,"Sights & Landmarks, Churches & Cathedrals","500 Charlotte St, Sydney, Nova Scotia B1P 1E7, Canada",2,,,5.0,100%,0%,0%,0%,0%
d7056509,Grand Passage Ferry,https://www.tripadvisor.com/Attraction_Review-g2667607-d7056509-Reviews-Grand_Passage_Ferry-Westport_Brier_Island_Southwest_Nova_Scotia_Nova_Scotia.html,#2 of 5 things to do in Westport,"Transportation, Ferries","Water Street, Westport, Nova Scotia, Canada",56,,,4.5,78%,19%,3%,0%,0%
d298798,George s Island Lighthouse,https://www.tripadvisor.com/Attraction_Review-g154976-d298798-Reviews-George_s_Island_Lighthouse-Halifax_Halifax_Region_Nova_Scotia.html,#44 of 112 things to do in Halifax,"Sights & Landmarks, Lighthouses","Halifax, Nova Scotia, Canada",31,,,4.0,46%,35%,16%,3%,0%
d12958210,Acadia Park,https://www.tripadvisor.com/Attraction_Review-g850576-d12958210-Reviews-Acadia_Park-Westville_Nova_Scotia.html,#2 of 4 things to do in Westville,Nature & Parks,"South Main Street, Westville, Nova Scotia B0K 2A0, Canada",2,,,5.0,100%,0%,0%,0%,0%
d14948068,Back to the Sea Touch Tank Hut,https://www.tripadvisor.com/Attraction_Review-g154974-d14948068-Reviews-Back_to_the_Sea_Touch_Tank_Hut-Dartmouth_Halifax_Region_Nova_Scotia.html,#8 of 24 things to do in Dartmouth,"Nature & Parks, Zoos & Aquariums",Features AnimalsThis attraction features animalsClick below for expert advice on animal welfare in tourism.Learn more,13,Closed today: Closed,Sun10:00 AM - 6:00 PMWed - Fri10:00 AM - 6:00 PMSat9:00 AM - 5:00 PM,5.0,100%,0%,0%,0%,0%
d10719043,Benjamin Bridge,https://www.tripadvisor.com/Attraction_Review-g154969-d10719043-Reviews-Benjamin_Bridge-Wolfville_Southwest_Nova_Scotia_Nova_Scotia.html,#6 of 16 things to do in Wolfville,"Food & Drink, Wineries & Vineyards","1966 White Rock Road, Wolfville, Nova Scotia B4P 2R1, Canada",24,Open Now: 9:00 AM - 5:00 PM,Mon - Fri9:00 AM - 5:00 PM,4.5,67%,25%,4%,4%,0%
d10450443,Mic Mac Mall,https://www.tripadvisor.com/Attraction_Review-g154974-d10450443-Reviews-Mic_Mac_Mall-Dartmouth_Halifax_Region_Nova_Scotia.html,#12 of 24 things to do in Dartmouth,"Shopping, Shopping Malls","21 Micmac Blvd, Dartmouth, Nova Scotia B3A 4N3, Canada",32,Open Now: 9:30 AM - 9:00 PM,Sun12:00 PM - 5:00 PMMon - Sat9:30 AM - 9:00 PM,4.0,34%,21%,39%,6%,0%
d8457699,Hirtle s Beach,https://www.tripadvisor.com/Attraction_Review-g8459346-d8457699-Reviews-Hirtle_s_Beach-Rose_Bay_Southwest_Nova_Scotia_Nova_Scotia.html,#1 of 3 things to do in Rose Bay,"Nature & Parks, Outdoor Activities, Beaches","Hirtle Beach Rd, Rose Bay, Nova Scotia B0J 2X0, Canada",33,,,4.5,79%,18%,0%,3%,0%
d5556188,Scots Bay Provincial Park,https://www.tripadvisor.com/Attraction_Review-g7369101-d5556188-Reviews-Scots_Bay_Provincial_Park-Scots_Bay_Southwest_Nova_Scotia_Nova_Scotia.html,#1 of 2 things to do in Scots Bay,"Nature & Parks, State Parks","16 Wharf Road, Scots Bay, Nova Scotia B0P 1H0, Canada",7,,,4.0,14%,58%,28%,0%,0%
d271180,Jost Vineyards,https://www.tripadvisor.com/Attraction_Review-g887217-d271180-Reviews-Jost_Vineyards-Malagash_Nova_Scotia.html,#1 of 4 things to do in Malagash,"Food & Drink, Wineries & Vineyards","48 Vintage Lane, Malagash, Nova Scotia B0K 1E0, Canada",121,Open Now: 10:00 AM - 6:00 PM,Sun - Sat10:00 AM - 6:00 PM,4.5,57%,32%,9%,1%,1%
d8539913,Celtic Shores Coastal Trail,https://www.tripadvisor.com/Attraction_Review-g154972-d8539913-Reviews-Celtic_Shores_Coastal_Trail-Cape_Breton_Island_Nova_Scotia.html,#111 of 246 things to do in Cape Breton Island,"Outdoor Activities, Nature & Parks, Hiking Trails, Biking Trails More","Canso Causeway, Nova Scotia, Canada",6,,,5.0,84%,16%,0%,0%,0%
d13164969,Mariner s Park,https://www.tripadvisor.com/Attraction_Review-g154973-d13164969-Reviews-Mariner_s_Park-Sydney_Cape_Breton_Island_Nova_Scotia.html,#22 of 38 things to do in Sydney,Nature & Parks,"90 Esplanade St, Sydney, Nova Scotia B1P 1A1, Canada",6,,,4.5,51%,33%,16%,0%,0%
d7073025,CentreStage Theatre,https://www.tripadvisor.com/Attraction_Review-g499229-d7073025-Reviews-CentreStage_Theatre-Kentville_Southwest_Nova_Scotia_Nova_Scotia.html,#3 of 14 things to do in Kentville,"Concerts & Shows, Theaters","61 River St, Kentville, Nova Scotia B4N 1G8, Canada",18,,,4.5,73%,27%,0%,0%,0%
d814039,Spencer s Island,https://www.tripadvisor.com/Attraction_Review-g499210-d814039-Reviews-Spencer_s_Island-Advocate_Harbour_Nova_Scotia.html,#4 of 8 things to do in Advocate Harbour,"Nature & Parks, Sights & Landmarks, Points of Interest & Landmarks, Islands, Educational sites More","Bay of Fundy | Cumberland County, Advocate Harbour, Nova Scotia B0M 1H0, Canada",45,,,4.5,65%,31%,4%,0%,0%
d13167093,A Land of our own,https://www.tripadvisor.com/Attraction_Review-g154973-d13167093-Reviews-A_Land_of_our_own-Sydney_Cape_Breton_Island_Nova_Scotia.html,#20 of 38 things to do in Sydney,"Sights & Landmarks, Monuments & Statues","60 Esplanade St, Sydney, Nova Scotia B1P 1A1, Canada",8,,,4.5,63%,12%,25%,0%,0%
d8322015,Port Hawkesbury Community Park,https://www.tripadvisor.com/Attraction_Review-g635950-d8322015-Reviews-Port_Hawkesbury_Community_Park-Port_Hawkesbury_Cape_Breton_Island_Nova_Scotia.html,#1 of 3 things to do in Port Hawkesbury,"Nature & Parks, Fun & Games, Playgrounds","MacQuarrie Dr. Extension, Port Hawkesbury, Nova Scotia B9A 3S9, Canada",18,,,5.0,89%,11%,0%,0%,0%
d8815606,Ward Falls,https://www.tripadvisor.com/Attraction_Review-g499233-d8815606-Reviews-Ward_Falls-Parrsboro_Nova_Scotia.html,#10 of 12 things to do in Parrsboro,"Nature & Parks, Waterfalls","Parrsboro Shore Road, Parrsboro, Nova Scotia, Canada",11,,,4.0,55%,9%,36%,0%,0%
d7031781,Wishing Stones Studio Gallery,https://www.tripadvisor.com/Attraction_Review-g182187-d7031781-Reviews-Wishing_Stones_Studio_Gallery-Lunenburg_Southwest_Nova_Scotia_Nova_Scotia.html,#19 of 30 things to do in Lunenburg,"Sights & Landmarks, Points of Interest & Landmarks","151 South Cove Dr, Lunenburg, Nova Scotia B0J 2C0, Canada",4,,,5.0,100%,0%,0%,0%,0%
d2186841,Sherbrooke Village,https://www.tripadvisor.com/Attraction_Review-g2201420-d2186841-Reviews-Sherbrooke_Village-Sherbrooke_Nova_Scotia.html,#1 of 4 things to do in Sherbrooke,"Museums, Specialty Museums","Main Street, Sherbrooke, Nova Scotia B0J 3C0, Canada",162,,,4.5,64%,27%,6%,2%,1%
d2419855,Grohmann Knives Factory Outlet,https://www.tripadvisor.com/Attraction_Review-g154977-d2419855-Reviews-Grohmann_Knives_Factory_Outlet-Pictou_Nova_Scotia.html,#6 of 19 things to do in Pictou,"Shopping, Factory Outlets","116 Water St, Pictou, Nova Scotia B0K 1H0, Canada",43,Open Now: 9:00 AM - 5:00 PM,Sun11:00 AM - 5:00 PMMon - Sat9:00 AM - 5:00 PM,4.0,41%,37%,16%,4%,2%
d6994924,Pictou County Military Museum,https://www.tripadvisor.com/Attraction_Review-g850576-d6994924-Reviews-Pictou_County_Military_Museum-Westville_Nova_Scotia.html,#1 of 4 things to do in Westville,"Museums, Specialty Museums","2020 Queen St, Westville, Nova Scotia B0K 2A0, Canada",3,,,5.0,100%,0%,0%,0%,0%
d298800,Kidston Island Lighthouse,https://www.tripadvisor.com/Attraction_Review-g499213-d298800-Reviews-Kidston_Island_Lighthouse-Baddeck_Cape_Breton_Island_Nova_Scotia.html,#5 of 15 things to do in Baddeck,"Sights & Landmarks, Lighthouses","Baddeck, Nova Scotia, Canada",45,,,4.5,57%,31%,8%,2%,2%
d10092857,High Head Hiking Trail,https://www.tripadvisor.com/Attraction_Review-g1544597-d10092857-Reviews-High_Head_Hiking_Trail-Prospect_Halifax_Region_Nova_Scotia.html,#1 of 1 things to do in Prospect,"Outdoor Activities, Nature & Parks, Hiking Trails","Hages Lane, Prospect, Nova Scotia, Canada",11,,,4.5,82%,9%,0%,0%,9%
d5533620,Mira River Provincial Park,https://www.tripadvisor.com/Attraction_Review-g154972-d5533620-Reviews-Mira_River_Provincial_Park-Cape_Breton_Island_Nova_Scotia.html,#90 of 246 things to do in Cape Breton Island,Nature & Parks,"Brickyard Road, Nova Scotia B1K 2R9, Canada",20,,,4.0,40%,40%,10%,5%,5%
d5533619,Battery Provincial Park,https://www.tripadvisor.com/Attraction_Review-g1106664-d5533619-Reviews-Battery_Provincial_Park-St_Peter_s_Cape_Breton_Island_Nova_Scotia.html,#3 of 14 things to do in St. Peter's,Nature & Parks,"10110 Hwy 4, St. Peter's, Nova Scotia B0E 3B0, Canada",36,,,4.5,65%,33%,2%,0%,0%
d12876444,Saint Francis Xavier University,https://www.tripadvisor.com/Attraction_Review-g154971-d12876444-Reviews-Saint_Francis_Xavier_University-Antigonish_Nova_Scotia.html,#6 of 22 things to do in Antigonish,"Sights & Landmarks, Universities & Schools","5005 Chapel Square, Antigonish, Nova Scotia B2G 2W5, Canada",12,,,4.5,67%,25%,8%,0%,0%
d7051752,Parrsboro Lighthouse,https://www.tripadvisor.com/Attraction_Review-g499233-d7051752-Reviews-Parrsboro_Lighthouse-Parrsboro_Nova_Scotia.html,#6 of 12 things to do in Parrsboro,"Sights & Landmarks, Points of Interest & Landmarks, Lighthouses","Pier Road, Parrsboro, Nova Scotia B0M 1S0, Canada",24,,,4.5,63%,25%,12%,0%,0%
d12961383,Cheticamp Visitor Centre,https://www.tripadvisor.com/Attraction_Review-g499215-d12961383-Reviews-Cheticamp_Visitor_Centre-Cheticamp_Cape_Breton_Island_Nova_Scotia.html,#9 of 12 things to do in Cheticamp,"Traveler Resources, Visitor Centers","16648 Cabot Trail, Cheticamp, Nova Scotia B0E 1H0, Canada",5,,,5.0,80%,20%,0%,0%,0%
d5556085,Rissers Beach Provincial Park,https://www.tripadvisor.com/Attraction_Review-g6863912-d5556085-Reviews-Rissers_Beach_Provincial_Park-Petite_Riviere_Southwest_Nova_Scotia_Nova_Scotia.html,#1 of 2 things to do in Petite Riviere,"Outdoor Activities, Nature & Parks, Beaches","Highway 331, Petite Riviere, Nova Scotia B4V 6P2, Canada",43,,,4.5,55%,41%,2%,2%,0%
d4790319,Old Miller Trout Farm,https://www.tripadvisor.com/Attraction_Review-g660788-d4790319-Reviews-Old_Miller_Trout_Farm-Margaree_Forks_Cape_Breton_Island_Nova_Scotia.html,#5 of 5 things to do in Margaree Forks,"Sights & Landmarks, Farms",Features AnimalsThis attraction features animalsClick below for expert advice on animal welfare in tourism.Learn more,2,,,5.0,100%,0%,0%,0%,0%
d4375394,Saint Ninian Cathedral,https://www.tripadvisor.com/Attraction_Review-g154971-d4375394-Reviews-Saint_Ninian_Cathedral-Antigonish_Nova_Scotia.html,#4 of 22 things to do in Antigonish,"Sights & Landmarks, Churches & Cathedrals","Antigonish, Nova Scotia B2G 2L8, Canada",30,,,4.0,40%,44%,13%,3%,0%
d13286884,Holy Redeemer Parish,https://www.tripadvisor.com/Attraction_Review-g154973-d13286884-Reviews-Holy_Redeemer_Parish-Sydney_Cape_Breton_Island_Nova_Scotia.html,#26 of 38 things to do in Sydney,"Sights & Landmarks, Churches & Cathedrals","1135 Victoria Rd, Sydney, Nova Scotia B1N 1L3, Canada",4,,,4.5,50%,25%,25%,0%,0%
d14179329,Kauzmann Trail,https://www.tripadvisor.com/Attraction_Review-g1841318-d14179329-Reviews-Kauzmann_Trail-Inverness_Cape_Breton_Island_Nova_Scotia.html,#7 of 16 things to do in Inverness,"Outdoor Activities, Nature & Parks, Hiking Trails","6014 Road, Inverness, Nova Scotia, Canada",3,,,5.0,100%,0%,0%,0%,0%
d2422828,Admiral Lake Trail,https://www.tripadvisor.com/Attraction_Review-g1555448-d2422828-Reviews-Admiral_Lake_Trail-Musquodoboit_Harbour_Halifax_Region_Nova_Scotia.html,#1 of 6 things to do in Musquodoboit Harbour,"Nature & Parks, Outdoor Activities, Hiking Trails","Musquodoboit Trailway, Musquodoboit Harbour, Nova Scotia, Canada",6,,,4.5,67%,33%,0%,0%,0%
d7083899,Acadia University Art Gallery,https://www.tripadvisor.com/Attraction_Review-g154969-d7083899-Reviews-Acadia_University_Art_Gallery-Wolfville_Southwest_Nova_Scotia_Nova_Scotia.html,#8 of 16 things to do in Wolfville,"Museums, Shopping, Art Galleries","10 Highland Avenue | Beveridge Arts Centre, Wolfville, Nova Scotia B4P 2R2, Canada",15,Open Now: 12:00 PM - 4:00 PM,Tue - Sun12:00 PM - 4:00 PM,4.5,81%,13%,6%,0%,0%
d4417675,Carmichael Stewart House Museum,https://www.tripadvisor.com/Attraction_Review-g499232-d4417675-Reviews-Carmichael_Stewart_House_Museum-New_Glasgow_Nova_Scotia.html,#3 of 16 things to do in New Glasgow,"Museums, Specialty Museums","86 Temperance St, New Glasgow, Nova Scotia B2H 3A7, Canada",9,,,4.5,56%,33%,11%,0%,0%
d10486857,Angus L Macdonald Bridge,https://www.tripadvisor.com/Attraction_Review-g154976-d10486857-Reviews-Angus_L_Macdonald_Bridge-Halifax_Halifax_Region_Nova_Scotia.html,#42 of 112 things to do in Halifax,"Outdoor Activities, Sights & Landmarks, Points of Interest & Landmarks, Scenic Drives, Bridges More","Halifax, Nova Scotia, Canada",61,,,4.0,24%,34%,39%,3%,0%
d3710296,Colchester Historeum,https://www.tripadvisor.com/Attraction_Review-g181762-d3710296-Reviews-Colchester_Historeum-Truro_Nova_Scotia.html,#3 of 17 things to do in Truro,"Museums, History Museums","29 Young St, Truro, Nova Scotia B2N 3W3, Canada",22,Open Now: 10:00 AM - 5:00 PM,Mon - Fri10:00 AM - 5:00 PMSat10:00 AM - 4:00 PM,4.5,47%,40%,13%,0%,0%
d12972189,Mica Hill Trail,https://www.tripadvisor.com/Attraction_Review-g154972-d12972189-Reviews-Mica_Hill_Trail-Cape_Breton_Island_Nova_Scotia.html,#147 of 246 things to do in Cape Breton Island,"Nature & Parks, Outdoor Activities, Hiking Trails","Paquette Lake Road, Nova Scotia B0C 1G0, Canada",2,,,5.0,100%,0%,0%,0%,0%
d6994708,Giant MacAskill Museum,https://www.tripadvisor.com/Attraction_Review-g1116680-d6994708-Reviews-Giant_MacAskill_Museum-Englishtown_Cape_Breton_Island_Nova_Scotia.html,#7 of 7 things to do in Englishtown,"Museums, Specialty Museums","Highway 312, Englishtown, Nova Scotia, Canada",5,,,3.5,40%,0%,40%,20%,0%
d4417831,Cape Breton Centre for Heritage and Science,https://www.tripadvisor.com/Attraction_Review-g154973-d4417831-Reviews-Cape_Breton_Centre_for_Heritage_and_Science-Sydney_Cape_Breton_Island_Nova_Scotia.html,#23 of 38 things to do in Sydney,"Museums, Specialty Museums","225 George St, Sydney, Nova Scotia B1P 1J5, Canada",6,,,4.5,50%,50%,0%,0%,0%
d3640476,Franey Mountain,https://www.tripadvisor.com/Attraction_Review-g677535-d3640476-Reviews-Franey_Mountain-Dingwall_Cape_Breton_Island_Nova_Scotia.html,#3 of 9 things to do in Dingwall,"Nature & Parks, Mountains","Cape Breton Highlands National Park, Dingwall, Nova Scotia, Canada",52,,,4.5,70%,25%,5%,0%,0%
d7052946,Cape North Lighthouse,https://www.tripadvisor.com/Attraction_Review-g2266657-d7052946-Reviews-Cape_North_Lighthouse-Bay_St_Lawrence_Cape_Breton_Island_Nova_Scotia.html,#3 of 3 things to do in Bay St. Lawrence,"Sights & Landmarks, Points of Interest & Landmarks, Lighthouses","Money Point Road, Bay St. Lawrence, Nova Scotia B0C 1R0, Canada",3,,,4.0,34%,33%,33%,0%,0%
d4346911,Northumberland Fisheries Museum,https://www.tripadvisor.com/Attraction_Review-g154977-d4346911-Reviews-Northumberland_Fisheries_Museum-Pictou_Nova_Scotia.html,#4 of 19 things to do in Pictou,"Museums, Specialty Museums","21 Caladh Avenue, Pictou, Nova Scotia B0K 1H0, Canada",48,Open Now: 10:00 AM - 5:00 PM,Sun12:00 AM - 4:00 PMMon - Sat10:00 AM - 5:00 PM,4.5,53%,27%,20%,0%,0%
d1815379,Lawrencetown Beach,https://www.tripadvisor.com/Attraction_Review-g1917542-d1815379-Reviews-Lawrencetown_Beach-East_Lawrencetown_Halifax_Region_Nova_Scotia.html,#1 of 4 things to do in East Lawrencetown,"Nature & Parks, Outdoor Activities, Beaches","4348 Lawrencetown Rd, East Lawrencetown, Nova Scotia B2Z 1P8, Canada",174,,,4.5,55%,35%,8%,2%,0%
d13073036,MacIntosh Brook Trail,https://www.tripadvisor.com/Attraction_Review-g1523026-d13073036-Reviews-MacIntosh_Brook_Trail-Pleasant_Bay_Cape_Breton_Island_Nova_Scotia.html,#7 of 10 things to do in Pleasant Bay,"Outdoor Activities, Nature & Parks, Hiking Trails","24150 Cabot Trail, Pleasant Bay, Nova Scotia B0E 2P0, Canada",8,,,4.5,50%,50%,0%,0%,0%
d4597668,Amherst Point Bird Sanctuary,https://www.tripadvisor.com/Attraction_Review-g182200-d4597668-Reviews-Amherst_Point_Bird_Sanctuary-Amherst_Nova_Scotia.html,#2 of 16 things to do in Amherst,"Nature & Parks, Nature & Wildlife Areas",Features AnimalsThis attraction features animalsClick below for expert advice on animal welfare in tourism.Learn more,36,,,4.5,55%,30%,13%,2%,0%
d4058145,Government House,https://www.tripadvisor.com/Attraction_Review-g154976-d4058145-Reviews-Government_House-Halifax_Halifax_Region_Nova_Scotia.html,#31 of 112 things to do in Halifax,"Sights & Landmarks, Government Buildings","1451 Barrington St, Halifax, Nova Scotia B3J 1Z2, Canada",58,Closed today: Closed,Fri - Mon10:00 AM - 4:00 PM,4.0,32%,60%,8%,0%,0%
d8723842,Petit Passage Ferry,https://www.tripadvisor.com/Attraction_Review-g2209327-d8723842-Reviews-Petit_Passage_Ferry-East_Ferry_Southwest_Nova_Scotia_Nova_Scotia.html,#2 of 2 things to do in East Ferry,"Transportation, Ferries","3451 Shore Rd, East Ferry, Nova Scotia, Canada",12,,,5.0,92%,8%,0%,0%,0%
d5555798,Lake Midway Provincial Park,https://www.tripadvisor.com/Attraction_Review-g154975-d5555798-Reviews-Lake_Midway_Provincial_Park-Digby_Southwest_Nova_Scotia_Nova_Scotia.html,#6 of 20 things to do in Digby,Nature & Parks,"7600 Highway 217, Digby, Nova Scotia B0V 1A0, Canada",21,,,4.5,58%,33%,9%,0%,0%
d2919083,Kings County Museum,https://www.tripadvisor.com/Attraction_Review-g499229-d2919083-Reviews-Kings_County_Museum-Kentville_Southwest_Nova_Scotia_Nova_Scotia.html,#5 of 14 things to do in Kentville,"Museums, Specialty Museums","37 Cornwallis St, Kentville, Nova Scotia B4N 2E2, Canada",14,Open Now: 9:00 AM - 4:00 PM,Mon - Fri9:00 AM - 4:00 PM,4.5,79%,7%,14%,0%,0%
d5556088,Port Hood Station Provincial Park,https://www.tripadvisor.com/Attraction_Review-g499235-d5556088-Reviews-Port_Hood_Station_Provincial_Park-Port_Hood_Cape_Breton_Island_Nova_Scotia.html,#2 of 6 things to do in Port Hood,Nature & Parks,"8657 Highway 19, Port Hood, Nova Scotia B0E 2W0, Canada",23,,,4.5,44%,43%,13%,0%,0%
d14994849,Enfield Bark Park,https://www.tripadvisor.com/Attraction_Review-g499223-d14994849-Reviews-Enfield_Bark_Park-Enfield_Halifax_Region_Nova_Scotia.html,#2 of 2 things to do in Enfield,Nature & Parks,"6757 Highway 2, Enfield, Nova Scotia B2T 1C8, Canada",1,,,4.0,0%,100%,0%,0%,0%
